Animal Class,Species Name,Common Name,Year,Continent,Countries
Bird,Turnagra tanagra,North Island piopio,1955,Oceania,New Zealand
Reptile,Oligosoma gracilicorpus,Narrow-bodied skink,1955,Oceania,New Zealand
Mammal,Geocapromys thoracatus,Little Swan Island hutia,1955,North America,Swan Islands
Mammal,Geomys pinetis goffi,Goff's pocket gopher,1955,North America,United States
Mammal,Onychogalea lunata,Crescent nail-tail wallaby,1956,Oceania,Australia
Mammal,Pseudomys glaucus,Blue-gray mouse,1956,Oceania,Australia
Bird,Campephilus imperialis,Imperial woodpecker,1956,North America,Mexico
Bird,,Taichira antpitta,1956,South America,Venezuela
Bird,,Darwin's ground finch,1957,South America,Ecuador 
Fish,Chirostoma charari,Least silverside,1957,North America,Mexico
Fish,Noturus trautmani,Scioto madtom,1957,North America,United States
Mammal,Peromyscus polionotus decoloratus,Pallid beach mouse,1959,North America,United States
Bird,Ninox novaeseelandiae albaria,Lord Howe boobook,1960,Oceania,Australia
Mammal,Chaeropus ecaudatus,Pig-footed bandicoot,1960,Oceania,Australia
Mammal,Macrotis leucura,Lesser bilby,1960,Oceania,Australia
Mammal,Perameles eremiana,Desert bandicoot,1960,Oceania,Australia
Bird,,Pink-headed duck (lived in the Gangetic plains),1960,Asia,Bangladesh
Mammal,,Candango mouse,1960,South America,Brazil
Fish,Gila crassicauda,Thicktail chub,1960,North America,United States
Bird,Leucopeza semperi,Semper's warbler,1961,North America,Saint Lucia
Fish,Notropis aulidion,Durango shiner,1961,North America,Mexico
Mammal,,Red-bellied gracile opossum,1962,South America,Argentina
Amphibian,,Du Toit's torrent frog,1962,Africa,Kenya
Fish,Ptychochromis onilahy,,1962,Africa,Madagascar
Mammal,,Gloomy tube-nosed bat,1962,Asia,Japan
Bird,Paroreomyza flammea ,Moloka'i creeper,1963,Oceania,Hawaii
Bird,Turnagra capensis,South Island piopio,1963,Oceania,New Zealand
Crustacean,Hemigrapsus estellinensis ,,1963,North America,United States
Mammal,Procyon lotor gloveralleni,Barbados raccoon,1964,North America,Barbados
Fish,Notropis simus simus,Rio Grande bluntnose shiner,1964,North America,Mexico
Mammal,Ursus arctos nelsoni,Mexican grizzly bear,1964,North America,Mexico
Bird,Coenocorypha iredalei,South Island snipe,1964,Oceania,New Zealand
Insect,,Saint Helena darter,1964,Africa,Saint Helena
Amphibian,Plethodon ainsworthi,Ainsworth's salamander,1964,North America,United States
Bird,Akialoa stejnegeri,Kaua'i 'akialoa,1965,Oceania,Hawaii
Reptile,Podarcis sicula sanctistephani,Santo Stefano lizard,1965,Europe,Italy
Mammal,Mystacina robusta,Greater short-tailed bat,1965,Oceania,New Zealand
Bird,,Arabian ostrich (lived in the Middle East),1966,Asia,Saudi Arabia
